PitLap,Stint1Compound,Stint2Compound,Stint1Laps,Stint2Laps,Stint1Time,Stint2Time,PitLoss,TotalRaceTime
10,SOFT,HARD,10,47,984.789,4562.359,22.0,5569.148
11,SOFT,HARD,11,46,1083.055,4462.105,22.0,5567.16
12,SOFT,HARD,12,45,1181.304,4362.49,22.0,5565.794
13,SOFT,HARD,13,44,1279.5,4264.548,22.0,5566.048
14,SOFT,HARD,14,43,1377.723,4166.759,22.0,5566.482
15,SOFT,HARD,15,42,1475.736,4068.807,22.0,5566.543
16,SOFT,HARD,16,41,1573.517,3970.478,22.0,5565.995
17,SOFT,HARD,17,40,1671.397,3871.7,22.0,5565.096
18,SOFT,HARD,18,39,1769.086,3773.013,22.0,5564.099
19,SOFT,HARD,19,38,1866.732,3674.981,22.0,5563.713
20,SOFT,HARD,20,37,1964.462,3577.716,22.0,5564.178
21,SOFT,HARD,21,36,2062.311,3479.712,22.0,5564.023
22,SOFT,HARD,22,35,2159.947,3381.75,22.0,5563.698
23,SOFT,HARD,23,34,2257.734,3283.27,22.0,5563.004
24,SOFT,HARD,24,33,2355.567,3184.956,22.0,5562.523
25,SOFT,HARD,25,32,2453.294,3086.578,22.0,5561.872
26,SOFT,HARD,26,31,2550.988,2988.142,22.0,5561.13
27,SOFT,HARD,27,30,2648.67,2890.038,22.0,5560.708
28,SOFT,HARD,28,29,2746.297,2791.751,22.0,5560.048
29,SOFT,HARD,29,28,2843.945,2693.557,22.0,5559.502
30,SOFT,HARD,30,27,2941.581,2594.384,22.0,5557.965
31,SOFT,HARD,31,26,3039.18,2493.072,22.0,5554.252
32,SOFT,HARD,32,25,3136.796,2392.397,22.0,5551.193
33,SOFT,HARD,33,24,3234.368,2292.128,22.0,5548.496
34,SOFT,HARD,34,23,3331.861,2193.786,22.0,5547.647
35,SOFT,HARD,35,22,3429.398,2096.285,22.0,5547.682
36,SOFT,HARD,36,21,3526.851,1999.721,22.0,5548.572
37,SOFT,HARD,37,20,3624.197,1902.438,22.0,5548.635
38,SOFT,HARD,38,19,3721.964,1805.749,22.0,5549.713
39,SOFT,HARD,39,18,3819.65,1710.449,22.0,5552.098
40,SOFT,HARD,40,17,3917.384,1614.75,22.0,5554.134
41,SOFT,HARD,41,16,4014.865,1519.07,22.0,5555.935
42,SOFT,HARD,42,15,4112.34,1423.672,22.0,5558.012
43,SOFT,HARD,43,14,4209.823,1328.368,22.0,5560.192
44,SOFT,HARD,44,13,4307.316,1233.247,22.0,5562.563
45,SOFT,HARD,45,12,4404.736,1138.101,22.0,5564.837
